,A_Angle,B_Angle_sign,C_Masker,D_SNR,E_Talker,FG_Static,F_Sentence_ID,G_Sentence,H_Response,I_Input_1,J_Input_2,K_Input_3,L_Input_4,M_Input_5,Correct,Total,Percent
177,90,1,5,-6,3,FALSE,24-Feb,FOLLOW this ROAD around the BEND,GOLF,0,0,0,,,0,3,0
178,180,1,169,-3,1,FALSE,25-Jul,the SHIPWRECKED SAILORS BUILT a RAFT,THE SHIPWREAKED SAILORS MADE A RAFT,1,1,0,1,,3,4,0.75
179,-90,-1,44,0,1,FALSE,5-May,the FIREMAN HEARD her FRIGHTENED SCREAM,THE FIREMAN HEARD HER FRIGHTENED SCREAM,1,1,1,1,,4,4,1
180,0,1,55,-6,3,TRUE,23-Apr,her ENTRY SHOULD WIN FIRST PRIZE,FROG,0,0,0,0,0,0,5,0
181,90,1,108,0,1,FALSE,5-Jan,LET us DECIDE by TOSSING a COIN,LET US DECIDE BY TOSSING A COIN,1,1,1,1,,4,4,1
182,0,1,192,0,1,FALSE,3-Jul,his PANTS WERE HELD up by a BELT,HIS PANTS WERE HELD UP BY A BELT,1,1,1,1,,4,4,1
183,0,-1,199,0,0,TRUE,14-May,CUT a PIECE of MEAT from the ROAST,CUT A PIECE OF MEAT FROM THE ROAST,1,1,1,1,,4,4,1
184,-180,-1,80,-3,0,FALSE,15-Jun,the CANDLE BURNED with a BRIGHT FLAME,BIRD BY THE RIGHT WAY,0,0,0,0,,0,4,0
185,90,1,180,-6,2,FALSE,8-Jan,the DOG CHEWED on a BONE,THE DOG CHEWED A BONE,1,1,1,,,3,3,1
186,90,1,0,-3,3,FALSE,8-Jun,they FISHED in the BABBLING BROOK,,0,0,0,,,0,3,0
187,0,-1,151,-6,2,FALSE,4-Apr,your KNEES and your ELBOWS ARE JOINTS,THE KEYS TO THE DRESSER AND SUITCASE,0,0,0,0,,0,4,0
188,0,-1,161,-3,2,FALSE,1-Aug,my TURTLE WENT into its SHELL,THE PETRA WAS A GOOD SHOT,0,0,0,,,0,3,0
189,0,-1,156,-3,1,TRUE,2-Jan,STIR your COFFEE with a SPOON,CURRIED IN DARKNESS,0,0,0,,,0,3,0
190,180,1,12,0,0,FALSE,12-Mar,the TEACHER SAT on a SHARP TACK,THE TEACHER SAT ON A SHARP TACK,1,1,1,1,,4,4,1
191,180,1,122,-6,1,FALSE,11-Mar,USE this SPRAY to KILL the BUGS,THE STUDENTS SPRAYED THE AT DUSK,0,0,0,0,,0,4,0
